1,1,6.26,6.46,8.03,12.09,12.45,1.46,2.17,2.45,4.05,4.12,5.42,7.30
1,2,6.26,6.46,8.03,12.10,1.00,1.47,2.18,2.45,4.06,4.13,5.43,7.30
1,3,6.26,6.46,8.03,12.10,12.45,1.48,2.19,2.45,4.08,4.15,5.45,7.30
1,4,6.26,6.46,8.03,12.11,12.45,1.49,2.20,2.45,4.09,4.16,5.46,7.30
1,5,6.25,6.45,8.02,12.11,12.45,1.50,2.21,2.45,4.10,4.17,5.47,7.30
1,6,6.25,6.45,8.02,12.12,12.45,1.51,2.22,2.45,4.11,4.18,5.48,7.30
1,7,6.25,6.45,8.02,12.12,12.45,1.52,2.24,2.45,4.12,4.19,5.49,7.30
1,8,6.24,6.44,8.01,12.12,12.45,1.54,2.25,2.45,4.14,4.21,5.51,7.30
1,9,6.24,6.44,8.01,12.13,1.00,1.55,2.26,2.45,4.15,4.22,5.52,7.30
1,10,6.23,6.43,8.00,12.13,12.45,1.56,2.27,2.45,4.17,4.24,5.54,7.30
1,11,6.23,6.43,8.00,12.14,12.45,1.57,2.29,2.45,4.18,4.25,5.55,7.30
1,12,6.22,6.42,7.59,12.14,12.45,1.58,2.30,3.00,4.19,4.26,5.56,7.30
1,13,6.21,6.41,7.58,12.14,12.45,2.00,2.32,3.00,4.21,4.28,5.58,7.30
1,14,6.20,6.40,7.57,12.15,12.45,2.01,2.33,3.00,4.22,4.29,5.59,7.30
1,15,6.20,6.40,7.57,12.15,12.45,2.02,2.35,3.00,4.24,4.31,6.01,7.30
1,16,6.19,6.39,7.56,12.15,1.00,2.03,2.36,3.00,4.26,4.33,6.03,7.30
1,17,6.18,6.38,7.55,12.16,12.45,2.05,2.38,3.00,4.27,4.34,6.04,7.30
1,18,6.17,6.37,7.54,12.16,12.45,2.06,2.39,3.00,4.29,4.36,6.06,7.30
1,19,6.16,6.36,7.53,12.16,12.45,2.07,2.41,3.00,4.30,4.37,6.07,7.30
1,20,6.15,6.35,7.52,12.17,12.45,2.09,2.42,3.00,4.32,4.39,6.09,7.30
1,21,6.14,6.34,7.51,12.17,12.45,2.10,2.44,3.00,4.34,4.41,6.11,7.30
1,22,6.13,6.33,7.50,12.17,12.45,2.11,2.45,3.15,4.35,4.42,6.12,7.30
1,23,6.11,6.31,7.48,12.17,1.00,2.13,2.47,3.15,4.37,4.44,6.14,7.30
1,24,6.10,6.30,7.47,12.18,12.45,2.14,2.49,3.15,4.39,4.46,6.16,7.30
1,25,6.09,6.29,7.46,12.18,12.45,2.16,2.50,3.15,4.41,4.48,6.18,7.30
1,26,6.08,6.28,7.45,12.18,12.45,2.17,2.52,3.15,4.42,4.49,6.19,7.30
1,27,6.06,6.26,7.43,12.18,12.45,2.19,2.54,3.15,4.44,4.51,6.21,7.30
1,28,6.05,6.25,7.42,12.19,12.45,2.20,2.55,3.15,4.46,4.53,6.23,7.30
1,29,6.03,6.23,7.40,12.19,12.45,2.22,2.57,3.15,4.48,4.55,6.25,7.30
1,30,6.02,6.22,7.39,12.19,1.00,2.23,2.59,3.15,4.49,4.56,6.26,7.30
1,31,6.00,6.20,7.37,12.19,12.45,2.24,3.00,3.15,4.51,4.58,6.28,7.30
2,1,5.59,6.19,7.36,12.19,12.45,2.26,3.02,3.30,4.53,5.00,6.29,7.30
2,2,5.57,6.17,7.34,12.19,12.45,2.27,3.04,3.30,4.55,5.02,6.30,7.30
2,3,5.56,6.16,7.33,12.19,12.45,2.29,3.06,3.30,4.57,5.04,6.31,7.30
2,4,5.54,6.14,7.31,12.20,12.45,2.30,3.07,3.30,4.59,5.06,6.33,7.30
2,5,5.53,6.13,7.30,12.20,12.45,2.32,3.09,3.30,5.00,5.07,6.33,7.30
2,6,5.51,6.11,7.28,12.20,1.00,2.33,3.11,3.30,5.02,5.09,6.35,7.30
2,7,5.49,6.09,7.26,12.20,12.45,2.35,3.12,3.30,5.04,5.11,6.36,7.30
2,8,5.47,6.07,7.24,12.20,12.45,2.36,3.14,3.30,5.06,5.13,6.38,7.30
2,9,5.46,6.06,7.23,12.20,12.45,2.37,3.16,3.45,5.08,5.15,6.39,7.30
